k;env.a.coars;env.a.det;env.b.coars;env.b.det
5;64.38;88.09;91.35;95.57
10;64.38;88.09;88.99;88.64
15;64.38;88.09;88.43;89.08
20;64.38;88.09;89.69;88.41
25;64.38;88.09;88.24;87.68
30;64.38;88.09;88.54;88.06
40;64.38;88.09;87.21;88.59
50;64.38;88.09;85.1;87.52
75;64.38;88.09;84.41;83.86
