k;env.a.coars;env.a.det;env.b.coars;env.b.det
5;75.51;93.05;99.77;97.91
10;75.51;93.05;99.64;99.7
15;75.51;93.05;99.64;99.46
20;75.51;93.05;99.41;99.4
25;75.51;93.05;99.38;99.33
30;75.51;93.05;99.32;99.36
40;75.51;93.05;99.22;98.98
50;75.51;93.05;99.03;98.84
75;75.51;93.05;98.41;98.32
