k;env.a.coars;env.a.det;env.b.coars;env.b.det
5;6.44;0.58;0.36;0.012
10;6.44;0.58;0.15;0.15
15;6.44;0.58;0.23;0.2
20;6.44;0.58;0.33;0.13
25;6.44;0.58;0.33;0.22
30;6.44;0.58;0.13;0.13
40;6.44;0.58;0.18;0.26
50;6.44;0.58;0.11;0.44
75;6.44;0.58;0.35;0.17
