k;env.a.coars;env.a.det;env.b.coars;env.b.det
5;0.0081;0.027;0.91;0.098
10;0.0081;0.027;0.57;0.69
15;0.0081;0.027;0.56;6.66
20;0.0081;0.027;0.32;0.34
25;0.0081;0.027;0.32;0.3
30;0.0081;0.027;0.3;0.31
40;0.0081;0.027;0.26;0.2
50;0.0081;0.027;0.21;0.17
75;0.0081;0.027;0.12;0.12
